PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN
2,1,11,1-1,1,කොළඹ,கொழும்பு,Colombo
2,2,12,1-2,2,ගම්පහ,கம்‍‍ப‍‍ஹா,Gampaha
2,3,13,1-3,3,කඵතර,களுத்து‍றை,Kalutara
3,4,14,2-1,1,මහනුවර,கண்டி,Kandy
3,5,15,2-2,2,මාතලේ,மாத்த‍‍‍ளை,Matale
3,6,16,2-3,3,නුවරඑළිය,நுவரெலியா,Nuwara Eliya
4,7,17,3-1,1,ගාල්ල,காலி,Galle
4,8,18,3-2,2,මාතර,மாத்தறை,Matara
4,9,19,3-3,3,හම්බන්තොට,ஹம்பாந்தோட்‍டை,Hambantota
5,10,20,4-1,1,යාපනය,யாழ்பாணம்,Jaffna
5,11,21,4-2,2,මන්නාරම,மன்னார்,Mannar
5,12,22,4-3,3,වවුනියා,வவுனியா,Vavuniya
5,13,23,4-4,4,මුලතිවු,முல்லைத்தீவு,Mullaitivu
5,14,24,4-5,5,කිලිනොච්චි,கிளிநொச்சி,Kilinochchi
6,15,25,5-1,1,මඩකලපුව,மட்டக்களப்பு,Batticaloa
6,16,26,5-2,2,අම්පාර,அம்பா‍‍றை,Ampara
6,17,27,5-3,3,ත්‍රිකුණාමළය,திரு‍கோண‍மலை,Trincomalee
7,18,28,6-1,1,කුරුණෑගල,குருணாக‍லை,Kurunegala
7,19,29,6-2,2,පුත්තලම,புத்தளம்,Puttalam
8,20,30,7-1,1,අනුරාධපුර,அநுராதபுரம்,Anuradhapura
8,21,31,7-2,2,පොළොන්නරුව,பொலண்ணரு‍வை,Polonnaruwa
9,22,32,8-1,1,බදුල්ල,பது‍ளை,Badulla
9,23,33,8-2,2,මොණරාගල,மொணராக‍லை,Monaragala
10,24,34,9-1,1,රත්නපුර,இரத்திணபுரி,Ratnapura
10,25,35,9-2,2,කෑගල්ල,கேகா‍லை,Kegalle